Xraw,Yraw,Zraw,Xnorm,Ynorm,Znorm
10248,-2196,12876,6.18,-1.28,7.75
10004,-1644,12196,5.98,-0.98,7.3
9520,192,11396,5.62,0.14,6.81
9560,1212,11672,5.67,0.76,6.98
10108,976,12144,6.05,0.56,7.33
9336,888,13672,5.57,0.61,8.14
8112,712,13644,4.83,0.41,8.17
10144,984,13788,6,0.61,8.16
6616,1308,13836,3.95,0.77,8.17
6876,3184,13932,4.19,1.89,8.37
5984,6248,14768,3.6,3.69,8.89
3176,8512,14520,1.7,5.21,8.65
3668,9616,13796,2.01,5.83,8.2
2588,9460,13384,1.56,5.68,8.02
2056,10436,12860,1.24,6.28,7.69
-296,12064,12256,-0.12,7.18,7.34
2344,12916,13064,1.39,7.75,7.7
1344,13548,10876,0.77,8.12,6.5
2796,15220,9084,1.71,9.06,5.47
1472,14240,8148,0.8,8.51,4.87
-224,14464,7988,-0.1,8.73,4.79
596,14952,7552,0.36,8.98,4.47
-84,14012,6280,-0.08,8.41,3.67
908,14360,6160,0.47,8.63,3.69
-288,14596,6544,-0.24,8.78,3.96
-468,14768,6672,-0.3,8.88,4.01
152,14756,6316,0.12,8.87,3.79
328,14660,6204,0.15,8.77,3.65
-248,14828,6500,-0.21,8.84,3.89
-60,14448,6792,-0.01,8.63,4.17
-68,14864,6076,-0.04,8.83,3.58
68,14512,6760,0.1,8.72,4.12
-344,14528,6760,-0.11,8.69,4.03
-368,14724,6424,-0.19,8.74,3.87
-128,14544,6472,-0.16,8.7,3.89
-44,14600,6340,0.01,8.78,3.77
-276,14584,6620,-0.17,8.67,3.91
-244,14544,6292,-0.14,8.74,3.77
36,14676,6244,-0.03,8.77,3.77
-144,14572,6296,-0.06,8.72,3.87
-244,14632,6548,-0.1,8.79,3.89
-248,14640,6328,-0.11,8.81,3.83
-124,14812,6148,-0.06,8.94,3.74
-316,14528,6428,-0.19,8.72,3.8
-280,14524,6376,-0.21,8.7,3.89
-264,14612,6296,-0.15,8.74,3.79
-104,14684,6500,-0.06,8.81,3.86
-168,14588,6276,-0.11,8.72,3.77
-276,14708,6472,-0.18,8.82,3.79
-120,14596,6416,-0.04,8.73,3.79
-96,14740,6212,-0.11,8.88,3.7
-388,14720,6300,-0.17,8.85,3.8
-256,14604,6488,-0.14,8.77,3.8
-192,14612,6284,-0.11,8.78,3.81
-152,14656,6444,-0.07,8.75,3.78
-436,14692,6300,-0.22,8.78,3.74
-348,14600,6464,-0.23,8.73,3.77
-148,14720,6180,-0.11,8.88,3.78
-128,14688,6476,-0.06,8.81,3.86
-348,14604,6312,-0.26,8.76,3.73
-260,14868,6036,-0.18,8.87,3.63
40,14748,6420,0.04,8.83,3.84
-232,14600,6156,-0.16,8.76,3.74
-116,14636,6328,-0.08,8.76,3.85
-104,14672,6172,-0.04,8.81,3.7
-212,14644,6280,-0.16,8.77,3.69
4,14732,6392,-0.06,8.84,3.8
16,14684,6420,0.01,8.73,3.89
-264,14752,6264,-0.16,8.8,3.77
-312,14636,6336,-0.16,8.73,3.78
-68,14680,6280,-0.02,8.8,3.8
-60,14684,6252,-0.01,8.74,3.84
-268,14696,6396,-0.14,8.77,3.74
52,14664,6312,-0.03,8.79,3.85
-124,14712,6384,-0.07,8.84,3.79
-272,14528,6360,-0.2,8.73,3.8
-84,14688,6264,-0.08,8.78,3.74
-164,14716,6288,-0.09,8.88,3.84
-112,14784,6292,-0.05,8.87,3.71
-128,14772,6148,-0.12,8.85,3.7
-60,14716,6504,0.01,8.74,3.84
0,14788,6320,-0.02,8.82,3.85
-132,14724,6272,-0.03,8.8,3.76
-36,14792,6316,-0.02,8.83,3.82
-12,14728,6300,-0.02,8.8,3.77
-232,14560,6252,-0.1,8.72,3.77
-128,14788,6260,-0.06,8.82,3.8
-368,14740,6232,-0.25,8.74,3.76
-132,14704,6396,-0.11,8.74,3.8
-68,14788,6184,-0.1,8.91,3.68
-324,14692,6208,-0.24,8.79,3.72
-180,14684,6324,-0.05,8.82,3.81
-12,14708,6112,0.01,8.77,3.63
-316,14720,6180,-0.19,8.74,3.78
-228,14744,6208,-0.13,8.81,3.8
-88,14848,6108,-0.05,8.83,3.63
-280,14696,6232,-0.13,8.79,3.76
-168,14856,6344,-0.1,8.89,3.8
-128,14720,6112,-0.11,8.8,3.64
-128,14728,6196,-0.1,8.83,3.8
-88,14696,6256,-0.1,8.73,3.74
