Xraw,Yraw,Zraw,Xnorm,Ynorm,Znorm
5356,260,15648,3.24,0.17,9.4
5408,412,15608,3.25,0.21,9.27
5316,468,15644,3.07,0.2,9.39
5460,420,15968,3.28,0.27,9.45
5352,376,15592,3.22,0.24,9.34
5348,492,15616,3.16,0.28,9.41
5296,392,15604,3.2,0.18,9.35
5188,24,16212,3.16,-0.01,9.68
5176,-92,16252,3.1,-0.08,9.67
5968,-92,16372,3.58,-0.07,9.78
6336,116,16688,3.74,0.11,9.95
6068,-964,16856,3.6,-0.59,10
5664,-2640,17080,3.39,-1.56,10.21
7204,-2112,15784,4.25,-1.27,9.57
6072,-1536,14156,3.62,-0.9,8.42
5968,-948,14092,3.54,-0.55,8.33
6668,-348,14344,3.96,-0.14,8.57
7428,-224,13992,4.52,-0.07,8.29
7148,-392,12936,4.27,-0.19,7.86
8264,508,12384,4.94,0.33,7.37
7840,2032,12220,4.72,1.24,7.36
7892,2088,13008,4.73,1.28,7.82
6572,1480,13940,3.87,0.91,8.39
7032,2520,15104,4.23,1.61,9.05
5968,1788,15952,3.52,1.21,9.43
6984,3640,15264,4.15,2.17,9.23
2896,6340,15644,1.78,3.85,9.37
4284,7452,14680,2.53,4.52,8.69
2952,8412,13468,1.77,5.04,7.97
2928,10416,12296,1.7,6.2,7.33
252,10952,11796,0.12,6.64,7.01
992,11012,11756,0.69,6.55,7.14
-392,11752,12328,-0.19,7.03,7.41
264,15228,12024,0.17,9.1,7.04
2188,14800,9832,1.3,8.79,5.93
-328,13300,8080,-0.17,7.96,4.8
-824,13844,6520,-0.41,8.18,3.87
724,15612,6448,0.45,9.35,3.92
1492,17544,6256,0.84,10.49,3.69
-984,15276,4776,-0.59,9.13,2.9
-732,14836,4444,-0.45,8.92,2.56
92,15092,4824,0.11,9.03,2.87
-104,15332,5116,-0.05,9.15,2.99
-104,15312,5136,-0.09,9.11,3.05
-332,14992,5096,-0.24,8.99,3.02
-752,14888,5132,-0.5,8.93,3.09
-572,14992,5212,-0.31,8.99,3.11
-600,15120,5332,-0.36,9.03,3.2
-424,15176,5552,-0.32,9.02,3.26
-432,15040,5164,-0.2,9,3.04
-1044,14836,5096,-0.63,8.89,2.99
-344,15236,5744,-0.21,9.15,3.43
-648,15252,5344,-0.37,9.15,3.22
-528,15164,5080,-0.3,9.03,3.08
-1120,14764,5160,-0.59,8.85,3.13
-536,15088,5504,-0.32,8.99,3.34
-556,15128,5236,-0.33,9.05,3.13
-684,14956,5544,-0.41,8.98,3.35
-380,15260,5440,-0.26,9.1,3.25
-612,14900,5452,-0.37,8.95,3.17
-628,15004,5396,-0.36,8.94,3.21
-556,15096,5388,-0.39,9.03,3.14
-576,14988,5428,-0.33,8.93,3.2
-816,14984,5380,-0.46,8.99,3.16
-556,15148,5668,-0.34,9.03,3.46
-624,15104,5452,-0.34,9.04,3.24
-488,14792,5128,-0.28,8.84,3.08
-648,15012,5320,-0.46,8.94,3.19
-612,15180,5624,-0.37,9.08,3.42
-804,15028,5496,-0.52,8.96,3.28
-576,15040,5448,-0.33,8.96,3.17
-564,14948,5288,-0.32,8.94,3.16
-612,15140,5416,-0.3,9.07,3.17
-772,15024,5552,-0.47,9,3.32
-776,14960,5228,-0.44,8.93,3.15
-696,14944,5416,-0.41,8.93,3.2
-716,15060,5376,-0.49,9,3.13
-756,15172,5304,-0.42,9.04,3.17
-340,15028,5252,-0.22,8.96,3.21
-536,15020,5436,-0.32,9.02,3.24
-720,14944,5344,-0.49,8.9,3.2
-600,14948,5516,-0.38,8.95,3.26
-572,15040,5312,-0.33,9.06,3.25
-976,14940,5068,-0.58,8.94,3.08
-492,15064,5408,-0.33,9.02,3.18
-440,14988,5260,-0.28,8.99,3.17
-748,15136,5212,-0.42,9.08,3.19
-572,15020,5444,-0.4,9.01,3.24
-732,15088,5224,-0.4,9.01,3.15
-616,14952,5488,-0.39,8.93,3.34
-736,15092,5296,-0.4,9.03,3.13
-472,14988,5292,-0.28,8.97,3.17
-512,15076,5268,-0.36,9.01,3.17
-756,15096,5372,-0.42,9.02,3.12
-504,15024,5416,-0.28,8.99,3.25
-588,15112,5184,-0.37,9.01,3.17
-732,15144,5244,-0.39,9.06,3.13
-720,15044,5300,-0.41,9.03,3.24
-556,15024,5208,-0.26,9,3.16
-800,15000,5236,-0.46,8.99,3.11
-724,14940,5360,-0.43,8.96,3.17
-636,15136,5240,-0.34,9.12,3.15
-604,14944,5468,-0.33,8.94,3.23
-708,14936,5296,-0.43,8.92,3.13
-676,15072,5252,-0.43,8.98,3.13
-740,15096,5384,-0.4,9.06,3.23
-756,14860,5236,-0.4,8.87,3.2
-832,15012,5244,-0.45,8.94,3.13
-776,14980,5428,-0.36,9.01,3.16
-688,14988,5276,-0.37,8.98,3.14
-532,15012,5140,-0.33,8.98,3.19
-860,15168,5440,-0.5,9.09,3.31
-476,14920,5348,-0.32,8.98,3.13
-540,14988,5284,-0.34,8.97,3.18
-576,15124,5180,-0.32,9.01,3.14
-320,15124,5464,-0.19,9.03,3.41
-804,15056,5612,-0.47,9.01,3.31
-148,15060,5640,-0.07,9.01,3.42
104,15484,7352,0.03,9.32,4.3
516,15348,8756,0.25,9.21,5.23
-456,15228,8416,-0.29,9.12,5.03
-848,14860,10148,-0.49,8.89,6.16
2748,15008,13220,1.69,8.89,7.91
232,14736,13568,0.15,8.75,8.15
-1732,12104,14392,-1.11,7.06,8.62
2416,7824,13836,1.53,4.69,8.31
3740,4748,13756,2.29,2.79,8.2
5048,2456,12572,3.02,1.45,7.56
6948,964,11964,4.18,0.55,7.22
8564,-504,11576,5.08,-0.35,6.89
10084,-40,12572,6.08,-0.01,7.39
9148,-684,12436,5.53,-0.38,7.43
9908,-780,12068,5.98,-0.45,7.25
9356,-432,12240,5.66,-0.28,7.32
10816,-4,13420,6.45,-0.01,8.05
10720,-828,12868,6.37,-0.48,7.76
10532,-1784,13108,6.28,-1.05,7.82
10392,-2100,12936,6.21,-1.23,7.71
10116,-2828,13076,6.08,-1.69,7.83
9976,-2588,13040,6,-1.58,7.76
10852,-2496,13532,6.5,-1.47,8.05
10384,-2172,13316,6.24,-1.31,7.96
10276,-2404,12096,6.1,-1.45,7.22
7324,-3144,9704,4.44,-1.89,5.81
692,3152,13652,0.54,1.96,8.31
3052,15108,15924,1.93,9.07,9.63
3596,13944,18008,2.11,8.26,10.76
7400,2408,14312,4.59,1.51,8.46
5284,-3764,8812,3.24,-2.32,5.35
9028,-4112,10548,5.3,-2.54,6.22
12508,-3476,11756,7.55,-2.12,7.09
11088,-3192,12696,6.6,-1.89,7.56
9952,-3132,12820,5.97,-1.73,7.53
10260,-2660,13784,6.06,-1.57,8.16
10476,-2856,12824,6.26,-1.73,7.64
10688,-2888,12896,6.34,-1.7,7.71
9936,-2692,13000,5.97,-1.6,7.72
10144,-2680,13432,6.14,-1.6,8.04
10316,-2580,13180,6.16,-1.52,7.87
10216,-2656,12948,6.05,-1.59,7.74
9888,-2896,12952,5.93,-1.65,7.76
10364,-2764,13000,6.23,-1.62,7.7
10032,-2812,12912,6.01,-1.72,7.7
10100,-2700,13160,6.05,-1.64,7.9
10072,-2832,13100,6.05,-1.69,7.8
10252,-2512,13168,6.12,-1.51,7.92
10428,-2440,13320,6.24,-1.45,7.96
10388,-2468,13028,6.18,-1.46,7.81
10224,-2584,13088,6.15,-1.57,7.87
10020,-2480,12724,6,-1.52,7.7
10388,-2516,13052,6.22,-1.46,7.84
10476,-2508,13108,6.31,-1.52,7.81
10284,-2488,13068,6.14,-1.47,7.75
10172,-2548,13172,6.1,-1.52,7.85
10064,-2528,13200,6.02,-1.5,7.89
10140,-2360,12988,6.01,-1.45,7.79
10348,-2284,13172,6.19,-1.37,7.88
10440,-2128,13408,6.31,-1.25,7.96
10196,-2372,13372,6.14,-1.44,7.97
10020,-2292,12948,6.05,-1.4,7.85
