Xraw,Yraw,Zraw,Xnorm,Ynorm,Znorm
272,14996,5448,0.13,9,3.25
-92,15012,5352,-0.06,8.98,3.19
24,14916,5480,0.02,8.91,3.22
228,15136,5288,0.17,9.1,3.16
272,15192,5372,0.22,9.07,3.22
0,14936,5276,0,8.91,3.22
16,15080,5368,0.02,9.06,3.23
296,15060,5300,0.22,8.98,3.13
328,15248,5456,0.22,9.11,3.17
80,14916,5268,0.04,8.94,3.2
192,15012,5296,0.1,9.04,3.21
288,15180,5236,0.17,9.09,3.18
132,14944,5328,0.09,8.98,3.11
40,14972,5256,0.06,8.96,3.28
268,15024,5504,0.16,8.97,3.32
288,15116,5272,0.17,9.08,3.06
100,15072,5436,0.05,9.05,3.26
264,15060,5400,0.13,9.01,3.21
372,15044,5296,0.21,9,3.23
308,15112,5476,0.25,9.09,3.16
264,15080,5352,0.19,9.02,3.15
300,15132,5248,0.15,9.06,3.14
168,14864,5388,0.12,8.95,3.21
304,15128,5316,0.22,9.04,3.12
300,15200,5348,0.17,9.04,3.13
396,15044,5104,0.22,9,3.13
308,14908,5168,0.14,8.89,3.1
224,15076,5464,0.14,9.06,3.22
260,15156,5092,0.14,9.06,3.05
380,15152,5296,0.21,9.03,3.1
160,15204,5284,0.06,9.09,3.16
144,15100,5144,0.13,9.05,3.05
360,15180,5372,0.2,9.11,3.22
160,15136,5244,0.13,9.02,3.18
416,15012,5104,0.23,9,3.02
284,15156,5324,0.19,9.09,3.17
