Xraw,Yraw,Zraw,Xnorm,Ynorm,Znorm
8544,-2200,14268,5.14,-1.34,8.61
7876,-2188,14088,4.63,-1.27,8.47
8040,-2072,14500,4.84,-1.23,8.72
8880,-1628,14104,5.31,-0.92,8.54
8764,-2252,13548,5.22,-1.43,8.12
9452,-3192,13584,5.58,-1.86,8.08
9008,-3156,13280,5.36,-1.83,8
8724,-2996,13780,5.19,-1.8,8.31
9188,-3128,14192,5.41,-1.9,8.58
8488,-3216,13864,5.09,-1.9,8.2
8768,-3160,13736,5.26,-1.9,8.18
9224,-3276,14020,5.5,-1.96,8.35
8976,-3316,13900,5.35,-1.95,8.26
8996,-3392,13728,5.41,-2.07,8.19
8904,-3400,13608,5.34,-2.01,8.1
8848,-3372,13872,5.29,-2.08,8.34
9068,-3032,13648,5.46,-1.86,8.25
9172,-3448,13760,5.52,-2.02,8.26
8964,-3484,13836,5.36,-2.04,8.24
8896,-3496,13828,5.29,-2.07,8.32
9000,-3504,13704,5.34,-2.05,8.2
8992,-3336,13708,5.36,-1.98,8.22
8768,-3676,13712,5.32,-2.11,8.24
9032,-3608,13272,5.4,-2.13,7.9
7696,-6028,10256,4.65,-3.6,6.15
3932,2200,10012,2.2,1.46,5.98
2560,14136,19336,1.56,8.59,11.59
6316,11124,20032,3.76,6.62,11.93
8388,3060,17000,5.11,1.75,9.95
4848,-4840,8076,2.81,-2.95,4.78
6268,-5780,8896,3.75,-3.46,5.32
8460,-5104,12456,5.11,-2.99,7.51
8148,-4524,13712,4.93,-2.69,8.15
9744,-3868,14368,5.85,-2.28,8.64
8388,-4152,13744,5.07,-2.43,8.26
8268,-4416,13580,4.95,-2.72,8.14
8548,-3868,13804,5.09,-2.31,8.21
9052,-3696,14224,5.39,-2.17,8.48
8580,-3632,14352,5.13,-2.23,8.61
8456,-3712,14020,5.06,-2.22,8.39
8520,-3468,14144,5.16,-2.06,8.4
8352,-3312,13916,4.97,-2.01,8.3
8668,-3132,13228,5.19,-1.91,7.9
10004,-1076,11440,5.99,-0.64,6.85
8192,-780,12220,4.91,-0.45,7.26
9136,-1264,13248,5.43,-0.8,7.89
9976,-748,13836,5.94,-0.44,8.12
5508,-368,13488,3.31,-0.2,8.07
6196,564,13908,3.65,0.36,8.29
6628,1308,14700,3.9,0.78,8.78
6088,2856,16204,3.59,1.67,9.68
4956,4676,16492,2.9,2.77,9.87
3524,6352,15260,2.01,3.91,9.3
3636,7516,15688,2.55,4.09,9.45
3628,8736,14552,2.12,5.16,8.73
3248,9488,13604,1.99,5.67,8.16
4396,9644,12888,2.61,5.76,7.74
3076,12348,11672,1.86,7.39,6.97
2412,11796,11512,1.45,7.02,6.9
1720,12348,10372,1.01,7.37,6.22
1280,13020,10488,0.82,7.84,6.26
1752,12948,9892,1.03,7.72,5.9
2876,13044,9976,1.76,7.82,5.84
2800,13736,8872,1.65,8.28,5.32
1552,13388,8128,0.93,7.97,4.94
496,14016,7944,0.3,8.38,4.75
1132,13984,8516,0.67,8.39,5.1
1400,14564,7920,0.83,8.7,4.65
988,14244,7264,0.52,8.55,4.3
1084,14296,7156,0.73,8.48,4.32
1276,14140,6820,0.78,8.46,4.08
1348,14176,7028,0.78,8.41,4.3
1460,14968,7236,0.86,8.91,4.27
628,14460,6692,0.38,8.69,3.95
824,14604,6768,0.49,8.72,3.97
1088,14668,6556,0.71,8.75,3.98
1020,14696,6480,0.58,8.76,3.83
544,14556,6368,0.33,8.74,3.84
372,14596,6904,0.29,8.68,4.19
592,14676,6492,0.36,8.75,3.95
984,14728,6396,0.55,8.77,3.84
812,14532,6488,0.51,8.74,3.91
636,14608,6640,0.39,8.75,3.93
604,14712,6348,0.36,8.78,3.83
660,14700,6576,0.4,8.81,3.91
532,14808,6460,0.35,8.87,3.96
644,14504,6612,0.39,8.63,3.94
712,14644,6356,0.38,8.73,3.81
532,14696,6508,0.25,8.79,3.9
800,14616,6440,0.4,8.84,3.86
616,14740,6468,0.3,8.81,3.88
728,14624,6416,0.45,8.73,3.91
888,14596,6532,0.56,8.73,3.82
540,14684,6444,0.37,8.73,3.86
800,14744,6636,0.5,8.82,3.97
672,14636,6532,0.39,8.74,3.87
696,14544,6372,0.41,8.73,3.83
676,14560,6468,0.33,8.74,3.93
828,14644,6680,0.48,8.76,3.94
656,14728,6308,0.4,8.86,3.84
632,14516,6428,0.35,8.73,3.83
