Xraw,Yraw,Zraw,Xnorm,Ynorm,Znorm
2724,3632,15812,1.59,2.19,9.4
2872,3652,15820,1.69,2.2,9.53
2944,3684,15848,1.76,2.25,9.41
2832,3712,15764,1.77,2.24,9.49
2828,3500,15924,1.67,2.16,9.5
2852,3716,15696,1.74,2.15,9.43
2876,3752,15924,1.72,2.21,9.56
2952,3552,15760,1.74,2.13,9.43
2908,3684,15692,1.78,2.27,9.43
3360,3704,15652,2,2.19,9.38
3884,3532,15708,2.33,2.09,9.39
4692,4228,15536,2.8,2.52,9.38
4724,4568,15360,2.81,2.78,9.24
4084,3500,14336,2.44,2.15,8.6
2712,3328,14548,1.63,1.93,8.7
2296,3652,14148,1.46,2.23,8.54
2420,4684,14808,1.45,2.74,8.89
2516,4844,14584,1.49,2.91,8.78
2136,6164,13832,1.24,3.74,8.28
940,9144,13684,0.52,5.44,8.19
1680,9208,13184,1.03,5.57,7.92
-60,10572,12392,-0.05,6.25,7.35
-364,11460,12324,-0.25,6.91,7.43
1040,12508,11792,0.61,7.58,6.92
1412,12896,10740,0.84,7.71,6.42
2144,13752,9468,1.33,8.19,5.68
1240,15364,6900,0.73,9.25,4.13
592,14080,6460,0.36,8.44,3.82
1984,15488,6372,1.14,9.28,3.77
1016,15180,5180,0.6,9.04,3.1
492,15196,4636,0.27,9.04,2.79
3292,17556,4752,2.08,10.55,2.94
432,15036,4136,0.23,8.95,2.49
1396,15348,3512,0.83,9.18,2.07
812,15100,3928,0.52,9.04,2.38
988,15600,4608,0.6,9.34,2.67
1000,15620,4136,0.57,9.37,2.44
768,15384,3940,0.46,9.2,2.36
1468,15296,4124,0.9,9.21,2.49
1132,15512,4052,0.67,9.3,2.45
388,15520,3796,0.23,9.32,2.27
1224,15536,4140,0.75,9.32,2.47
1180,15492,3876,0.73,9.24,2.31
828,15400,3748,0.53,9.21,2.31
920,15476,3700,0.51,9.34,2.23
1028,15592,3848,0.63,9.3,2.28
672,15604,3900,0.44,9.35,2.28
852,15408,3780,0.55,9.22,2.29
1000,15496,3700,0.63,9.27,2.18
1172,15388,4140,0.67,9.27,2.42
940,15384,3804,0.58,9.18,2.27
1360,15552,3728,0.83,9.3,2.2
1276,15548,3628,0.72,9.32,2.28
976,15520,3732,0.6,9.29,2.21
1052,15504,3692,0.63,9.25,2.21
1040,15540,3644,0.59,9.31,2.18
1284,15484,3708,0.77,9.27,2.19
1204,15576,3684,0.72,9.35,2.18
824,15480,3592,0.55,9.26,2.12
1180,15620,3856,0.72,9.37,2.23
1204,15504,3740,0.7,9.24,2.13
1276,15532,3612,0.7,9.27,2.25
1348,15636,3640,0.82,9.33,2.21
1324,15588,3696,0.75,9.33,2.19
1036,15448,3680,0.64,9.25,2.19
1320,15568,3792,0.79,9.31,2.27
1364,15488,3540,0.85,9.28,2.16
1252,15540,3580,0.75,9.28,2.16
1172,15604,3548,0.64,9.36,2.05
1300,15472,3728,0.75,9.19,2.2
1408,15476,3536,0.78,9.27,2.1
1332,15676,3588,0.8,9.4,2.14
1248,15596,3604,0.73,9.3,2.1
944,15424,3588,0.65,9.22,2.08
1616,15576,3640,0.99,9.33,2.15
1252,15548,3676,0.75,9.3,2.23
1152,15604,3520,0.7,9.32,2.14
1540,15508,3744,0.93,9.26,2.32
1452,15472,3396,0.84,9.24,2.05
1168,15588,3584,0.67,9.33,2.14
1348,15628,3660,0.73,9.31,2.25
1416,15496,3520,0.83,9.32,2.12
1416,15484,3552,0.81,9.28,2.08
1276,15384,3712,0.76,9.27,2.2
1324,15556,3700,0.79,9.31,2.21
1256,15688,3520,0.74,9.36,2.14
1172,15432,3556,0.78,9.3,2.07
1124,15612,3584,0.68,9.33,2.16
1172,15404,3444,0.67,9.18,2.17
1296,15528,3568,0.71,9.31,2.08
1052,15344,3296,0.65,9.13,1.98
1952,15640,3664,1.18,9.43,2.3
1648,15648,3480,0.98,9.36,2.09
1576,15432,3652,0.94,9.24,2.13
1112,15580,3820,0.65,9.3,2.26
1848,16468,4956,1.17,9.84,2.94
1536,17512,6896,0.96,10.45,4.18
-40,16352,7816,-0.04,9.77,4.73
-1548,15988,8948,-0.89,9.61,5.3
-1296,14424,10488,-0.87,8.64,6.15
1480,11720,11208,0.92,7.09,6.75
2528,10204,12284,1.58,6.06,7.4
2220,7644,12904,1.37,4.58,7.66
2408,4832,14040,1.46,2.93,8.39
3564,2564,14116,2.16,1.46,8.55
4600,1012,14856,2.59,0.61,9.04
5376,-32,15516,3.2,0.02,9.22
5584,-660,15044,3.39,-0.42,8.93
7008,-2308,15680,4.2,-1.36,9.43
7076,-2656,14252,4.22,-1.62,8.63
5088,-2680,14316,3.04,-1.59,8.56
6836,-2016,15016,4.02,-1.2,8.95
6908,-2200,14344,4.05,-1.43,8.72
