Xraw,Yraw,Zraw,Xnorm,Ynorm,Znorm
4964,1968,15632,2.95,1.23,9.35
4856,2068,15688,2.95,1.24,9.41
5036,2104,15832,2.97,1.24,9.42
5008,1912,15672,3,1.23,9.42
4976,1964,15648,2.99,1.2,9.36
5000,2048,15608,2.98,1.27,9.41
5024,1976,15708,3.01,1.19,9.4
4988,2124,15764,2.96,1.27,9.43
5084,1844,15500,3,1.12,9.3
5012,1928,15828,2.96,1.15,9.42
4988,2060,15872,2.93,1.26,9.42
5232,1852,15640,3.1,1.14,9.33
5108,2172,15724,3.09,1.3,9.4
5068,1984,15736,3.01,1.14,9.38
4800,2048,15724,2.89,1.2,9.42
5096,1960,15784,3.05,1.21,9.34
4940,2036,15836,2.92,1.19,9.43
5044,1932,15484,3,1.16,9.24
5116,2052,16040,3.01,1.22,9.62
4952,1908,15764,2.97,1.12,9.4
4928,1904,15612,2.91,1.14,9.34
5112,2144,16064,3.03,1.27,9.62
5052,2068,15600,2.99,1.25,9.31
4856,1996,15692,2.96,1.25,9.37
4776,1928,15688,2.93,1.15,9.43
4820,2156,15836,2.91,1.31,9.46
5032,2028,15712,2.92,1.16,9.42
4664,1968,15672,2.77,1.26,9.37
4884,2100,15728,2.91,1.34,9.43
5068,2008,15652,2.99,1.21,9.28
4564,2076,15860,2.78,1.26,9.39
4968,2080,15720,2.96,1.23,9.38
5192,2300,15284,3.07,1.38,9.15
5952,2508,15248,3.55,1.61,9.11
6688,2436,14860,3.99,1.41,8.91
6304,3136,15216,3.74,1.94,9.14
5332,3820,15500,3.21,2.25,9.27
4820,4476,13952,2.85,2.71,8.28
5876,4332,12024,3.57,2.68,7.17
2424,6040,11804,1.4,3.61,7.16
3980,6696,14488,2.4,4.04,8.77
3888,8912,15104,2.42,5.35,8.99
2316,9556,13884,1.42,5.66,8.32
2960,9316,13436,1.77,5.56,7.97
3560,9000,12892,2.12,5.41,7.67
3088,9548,11632,1.81,5.71,6.9
2228,10440,11316,1.31,6.31,6.79
1140,11904,10668,0.73,7.12,6.34
592,12984,10488,0.39,7.82,6.23
1244,13664,10444,0.67,8.23,6.18
-3088,15792,10436,-1.83,9.56,6.25
800,13072,10112,0.56,7.81,6.01
-1368,15208,7824,-0.91,9.1,4.71
-212,15764,6828,-0.11,9.44,4.15
924,16144,5876,0.59,9.66,3.49
-60,14296,5288,-0.02,8.51,3.18
208,14664,5456,0.14,8.77,3.22
-140,14520,5360,-0.11,8.71,3.22
112,14828,6160,0.1,8.83,3.65
-420,15052,6552,-0.24,8.99,3.88
12,15132,5964,0.01,9.03,3.55
-476,14928,5596,-0.26,8.92,3.38
-652,14744,5492,-0.42,8.82,3.17
-728,14952,5660,-0.42,8.9,3.36
-28,15016,5852,-0.02,8.98,3.5
-680,14956,5516,-0.39,8.93,3.25
-456,14908,5480,-0.3,8.93,3.3
-252,15056,5576,-0.16,9.03,3.41
-132,14936,5536,-0.08,8.93,3.31
-460,14924,5688,-0.31,8.91,3.37
-736,15032,5744,-0.39,9.03,3.4
-408,15076,5676,-0.3,9.08,3.41
-156,14856,5716,-0.06,8.91,3.39
-476,14876,5420,-0.35,8.92,3.25
-460,14960,5784,-0.27,9.01,3.43
-544,14724,5744,-0.32,8.8,3.4
-440,15068,5800,-0.3,9.04,3.44
-428,14900,5548,-0.27,8.89,3.32
-248,15004,5532,-0.12,8.97,3.26
-552,14964,5560,-0.31,8.95,3.39
-512,14812,5632,-0.32,8.88,3.33
-172,15104,5652,-0.07,9.02,3.46
-480,14912,5572,-0.24,8.95,3.38
-328,14940,5556,-0.24,8.99,3.3
-384,15040,5640,-0.23,9.05,3.41
-588,14824,5744,-0.36,8.91,3.32
-516,14920,5676,-0.32,8.98,3.37
-244,14948,5724,-0.13,8.97,3.4
